,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[sub_grade_G3],0.0606,0.2468,-0.4402,0.4859,0.007,0.0104,1221.3076,527.4843,1.0015
beta[sub_grade_G4],0.0512,0.2397,-0.3818,0.5192,0.0078,0.0083,963.5119,649.6967,0.9999
beta[sub_grade_G5],0.051,0.233,-0.4186,0.4357,0.007,0.0077,1101.3359,694.8229,0.9978
beta[term_ 60 months],-0.1655,0.1375,-0.4215,0.1002,0.0059,0.0038,545.0427,552.4701,1.0033
sigma_grade,1.031,0.2265,0.5871,1.4443,0.012,0.0091,359.1674,355.6606,1.0038
alpha_month[1],-4.2858,0.4182,-5.0433,-3.5744,0.0251,0.0166,279.0241,371.3076,1.0031
alpha_month[2],-3.7426,0.3511,-4.3322,-2.9988,0.0209,0.0108,280.9826,475.495,1.0094
alpha_month[3],-3.7156,0.3583,-4.3727,-3.0789,0.0206,0.0121,302.8267,373.2181,1.0039
alpha_month[4],-3.8713,0.3441,-4.5085,-3.2107,0.0179,0.0127,372.4665,470.4669,1.0068
alpha_month[5],-3.6139,0.3359,-4.222,-2.9608,0.021,0.0105,251.2245,432.6751,1.0052
alpha_month[6],-3.194,0.2899,-3.7326,-2.6752,0.0214,0.0089,184.6773,485.7895,1.0126
alpha_month[7],-3.2875,0.2999,-3.8267,-2.7307,0.0189,0.0096,251.8566,487.196,1.0041
alpha_month[8],-2.9443,0.2745,-3.5079,-2.456,0.0222,0.0104,153.8668,325.735,1.013
alpha_month[9],-2.8849,0.2721,-3.405,-2.3767,0.0207,0.009,172.9136,357.6554,1.005
alpha_month[10],-3.329,0.3201,-3.8762,-2.74,0.0217,0.0161,224.7547,291.3261,1.0079
alpha_month[11],-3.0058,0.2791,-3.4969,-2.4855,0.0215,0.0099,168.47,314.937,1.0135
alpha_month[12],-3.3492,0.3186,-3.9271,-2.7921,0.0225,0.0111,195.7112,389.9675,1.0076
alpha_month[13],-3.0599,0.3065,-3.7024,-2.555,0.0194,0.0095,254.2707,494.8257,1.0085
alpha_month[14],-3.3617,0.3483,-3.9833,-2.7115,0.0212,0.0142,264.7183,329.7709,1.008
alpha_month[15],-3.6144,0.3571,-4.2647,-2.9738,0.0256,0.0121,194.1029,482.4959,1.0182
alpha_month[16],-2.7766,0.2813,-3.29,-2.2773,0.0219,0.0088,162.6131,390.8779,1.0085
alpha_month[17],-3.1841,0.3118,-3.7162,-2.5626,0.0219,0.0116,201.1831,539.6096,1.0095
